longitude,latitude,address,n
120.16976,37.881069,"14010 CLEMENTS RD ,GROVELAND,CA,95321",29
120.19463,37.769585,"7897 JACKASS CREEK RD ,,CA,95311",30
120.2223,37.840004,"12000 HOMESTEAD RD ,GROVELAND,CA,95321",31
120.20825,37.807526,"10110 YOSEMITE SPRINGS RD ,GROVELAND,CA,95321",32
120.18871,37.773609,"5795 CUNEO RD ,COULTERVILLE,CA,95311",33
120.14361,37.844513,"22537 PROSPECT HTS ,GROVELAND,CA,95321",34
120.14129,37.845264,"22550 HIDDEN HOLLOW DR ,GROVELAND,CA,95321",35
119.96446,37.825691,"30350 SAWMILL MOUNTAIN RD ,GROVELAND,CA,95321",36
120.36208,37.685276,"12952 BONDS FLAT RD ,LA GRANGE,CA,95329",37
120.32439,37.727291,"14550 AZUCENA CT ,COULTERVILLE,CA,95311",38
120.33489,37.74876,"14141 SUNSET OAKS DR ,COULTERVILLE,CA,95311",39
120.22249,37.852539,"19080 DYER CT ,GROVELAND,CA,95321",40
120.22099,37.85339,"19166 DYER CT ,GROVELAND,CA,95321",41
120.22389,37.852257,"19011 DYER CT ,GROVELAND,CA,95321",42
120.20905,37.842216,"12091 ALCAN CT ,GROVELAND,CA,95321",43
120.17931,37.842258,"20793 NONPAREIL WAY ,GROVELAND,CA,95321",44
120.17036,37.841579,"20876 MCKINLEY WAY ,GROVELAND,CA,95321",45
120.20187,37.847305,"19844 PINE MOUNTAIN DR ,GROVELAND,CA,95321",46
120.19765,37.845608,"19908 PINE MOUNTAIN DR ,GROVELAND,CA,95321",47
120.2013,37.845165,"19877 PINE MOUNTAIN DR ,GROVELAND,CA,95321",48
120.20063,37.843742,"12081 BRECKENRIDGE RD ,GROVELAND,CA,95321",49
120.19723,37.844017,"19933 PINE MOUNTAIN DR ,GROVELAND,CA,95321",50
120.19603,37.843174,"19950 RIDGECREST WAY ,GROVELAND,CA,95321",51
120.19725,37.843624,"12003 BRECKENRIDGE RD ,GROVELAND,CA,95321",52
120.19544,37.841934,"20318 LITTLE VALLEY RD ,GROVELAND,CA,95321",53
120.19672,37.841492,"20267 LITTLE VALLEY RD ,GROVELAND,CA,95321",54
120.19199,37.843102,"20048 RIDGECREST WAY ,GROVELAND,CA,95321",55
120.19199,37.84124,"20023 PINE MOUNTAIN DR ,GROVELAND,CA,95321",56
120.21779,37.855877,"19312 TIGER CT ,GROVELAND,CA,95321",57
120.30205,38.050468,"15700 OLD OAK RANCH RD ,SONORA,CA,95370",58
120.22005,37.851818,"12500 FOUNTAIN CT ,GROVELAND,CA,95321",59
120.23405,37.966228,"18330 WARDS FERRY RD 80,SONORA,CA,95370",60
120.38132,37.979248,"440 S WASHINGTON ST ,SONORA,CA,95370",61
120.41711,37.953281,"18188 6TH AVE ,JAMESTOWN,CA,95327",62
120.41449,38.037731,"10610 N AIRPORT RD ,COLUMBIA,CA,95310",63
120.18611,38.056953,"24008 LAMA RD ,,CA,95346",64
120.1859,38.056599,"20668 HEKEKE LN ,MI WUK VILLAGE,CA,95346",65
120.18346,38.057728,"20772 HEKEKE LN ,MI WUK VILLAGE,CA,95346",66
120.1843,38.056805,"20725 HEKEKE LN ,,CA,95346",67
120.18412,38.056526,"20736 TELELE TRL ,MI WUK VILLAGE,CA,95346",68
120.1847,38.056023,"20711 TELELE TRL ,MI WUK VILLAGE,CA,95346",69
120.18183,38.057961,"20823 TELELE CT ,MI WUK VILLAGE,CA,95346",70
120.18259,38.056461,"20809 TELELE TRL ,MI WUK VILLAGE,CA,95346",71
120.17916,38.056866,"20993 LAMA ROAD TEUMETE ,,CA,95346",72
120.17679,38.057316,"24013 LAMA ROAD HISUM ,,CA,95126",73
120.1786,38.057034,"20992 LAMA ROAD TEUMETE ,MI WUK VILLAGE,CA,95346",74
120.17553,38.05732,"21118 LAKE RD ,LA GRANGE,CA,95329",75
120.23437,38.031914,"22629 TWAIN HARTE DR ,TWAIN HARTE,CA,95383",76
120.23166,38.031143,"22567 SPRUCE DR ,TWAIN HARTE,CA,95383",77
120.22688,38.032528,"22631 CEDAR PINES AVE ,TWAIN HARTE,CA,95383",78
120.22977,38.030796,"18746 THAYER CT ,TWAIN HARTE,CA,95383",79
120.23005,38.030991,"22536 CEDAR PINES AVE ,TWAIN HARTE,CA,95383",80
120.22932,38.031612,"22590 CEDAR PINES AVE ,TWAIN HARTE,CA,95383",81
120.22961,38.030914,"22569 CEDAR PINES AVE ,TWAIN HARTE,CA,95383",82
120.22701,38.040073,"18853 MANZANITA DR A,TWAIN HARTE,CA,95383",83
120.23405,38.031139,"18550 WOODWARDIA RD ,TWAIN HARTE,CA,95383",84
120.24221,38.031067,"22514 GOLF CLUB DR ,TWAIN HARTE,CA,95383",85
120.24162,38.030739,"22541 GOLF CLUB DR ,TWAIN HARTE,CA,95383",86
120.24016,38.030949,"22585 GOLF CLUB DR ,TWAIN HARTE,CA,95383",87
120.2391,38.028622,"22354 PONDEROSA DR ,TWAIN HARTE,CA,95383",88
120.23627,38.029675,"22466 PONDEROSA DR ,TWAIN HARTE,CA,95383",89
120.2375,38.029125,"22435 PONDEROSA DR ,TWAIN HARTE,CA,95383",90
120.23638,38.029438,"22479 PONDEROSA DR ,TWAIN HARTE,CA,95383",91
120.23392,38.031223,"18563 WOODWARDIA RD ,TWAIN HARTE,CA,95383",92
120.22062,37.861416,"13121 MOHRMANN ST ,GROVELAND,CA,95321",93
120.21683,37.860558,"12968 MUELLER DR ,GROVELAND,CA,95321",94
120.2188,37.861347,"13016 MUELLER DR ,GROVELAND,CA,95321",95
120.21705,37.864143,"13275 WELLS FARGO DR ,GROVELAND,CA,95321",96
120.21729,37.863216,"19365 JAMES CIR ,GROVELAND,CA,95321",97
120.21397,37.861786,"13133 WELLS FARGO DR ,GROVELAND,CA,95321",98
120.27851,38.011745,"16610 S CREEKSIDE DR ,SONORA,CA,95370",99
120.30428,38.010727,"15400 PASEO DE LOS ROBLES RD ,SONORA,CA,95370",100
120.30796,38.013496,"15346 POCO CALLE DR ,SONORA,CA,95370",101
120.30614,38.013279,"15386 POCO CALLE DR ,SONORA,CA,95370",102
120.30543,38.013062,"15480 PASEO DE LOS ROBLES RD ,SONORA,CA,95370",103
120.30523,38.012836,"15481 PASEO DE LOS ROBLES RD ,SONORA,CA,95370",104
120.30463,38.014778,"21638 PASEO DE LOS PORTALES RD ,SONORA,CA,95370",105
120.30193,38.01572,"15520 BUENA VISTA AVENIDA ,SONORA,CA,95370",106
120.30396,38.015141,"21675 PASEO DE LOS PORTALES RD ,SONORA,CA,95370",107
120.30438,38.014221,"15516 PASEO DE LOS ROBLES RD ,SONORA,CA,95370",108
120.31281,38.020126,"21980 MONTGOMERY RD ,SONORA,CA,95370",109
120.31165,38.021648,"22028 MONTGOMERY RD ,SONORA,CA,95370",110
120.30709,38.019199,"15342 EL VENADA TRL ,SONORA,CA,95370",111
120.30823,38.018517,"21854 EL OSO WAY ,SONORA,CA,95370",112
120.30497,38.019005,"15427 EL VENADA TRL ,SONORA,CA,95370",113
120.30668,38.016808,"21770 EL OSO WAY ,SONORA,CA,95370",114
120.30706,38.017811,"21813 EL OSO WAY ,SONORA,CA,95370",115
120.22736,37.860943,"19307 FERRETTI RD ,GROVELAND,CA,95321",116
120.19318,37.859947,"13051 BOITANO RD ,GROVELAND,CA,95321",117
120.1821,37.857738,"12926 GREEN VALLEY CIR ,GROVELAND,CA,95321",118
120.40858,37.997005,"10872 MARTIN TERRACE CT ,SONORA,CA,95370",119
120.40871,37.995953,"10854 COUNTRYSIDE CT ,SONORA,CA,95370",120
120.26733,38.0037,"17027 RED HEATHER DR ,SONORA,CA,95370",121
120.26867,38.003315,"17000 RED HEATHER DR ,SONORA,CA,95370",122
120.27106,37.991226,"20182 MOYLE DR ,SONORA,CA,95370",123
120.43797,37.938595,"17410 STATE HIGHWAY 108 ,JAMESTOWN,CA,95327",124
120.43016,37.972794,"10155 PEPPERMINT CIR ,JAMESTOWN,CA,95327",125
120.42858,37.971069,"10155 PEPPERMINT CIR 19,JAMESTOWN,CA,95327",126
120.42426,37.972866,"10155 PEPPERMINT CIR 73,JAMESTOWN,CA,95327",127
120.42519,37.971943,"10155 PEPPERMINT CIR 88,JAMESTOWN,CA,95327",128
120.47163,37.949944,"8400 OLD MELONES RD 78,JAMESTOWN,CA,95327",129
120.47307,37.948345,"8400 OLD MELONES RD 35,JAMESTOWN,CA,95327",130
120.39206,37.995155,"20500 SHAWS FLAT RD ,SONORA,CA,95370",131
120.3905,37.987625,"437 CALAVERAS WAY ,SONORA,CA,95370",132
120.39411,37.990692,"600 ARBONA CIR N ,SONORA,CA,95370",133
120.266,38.051571,"23620 KEWIN MILL RD ,SONORA,CA,95370",134
120.25658,38.037426,"22854 MIDDLE CAMP RD ,TWAIN HARTE,CA,95383",135
120.24731,38.044125,"23226 MIDDLE CAMP RD ,TWAIN HARTE,CA,95383",136
120.24828,38.045456,"17925 BLUEJAY CT ,TWAIN HARTE,CA,95383",137
120.24864,38.043739,"17884 LARK DR ,TWAIN HARTE,CA,95383",138
120.25294,38.044243,"23216 HAWK LN ,TWAIN HARTE,CA,95383",139
120.25311,38.04549,"23263 HAWK LN ,TWAIN HARTE,CA,95383",140
120.24924,38.045444,"17867 ROBIN RD ,TWAIN HARTE,CA,95383",141
120.25132,38.044086,"17789 LARK DR ,TWAIN HARTE,CA,95383",142
120.2526,38.043419,"23111 WREN HOLLOW CT ,TWAIN HARTE,CA,95383",143
120.25559,38.041115,"23030 MIDDLE CAMP RD ,TWAIN HARTE,CA,95383",144
120.39827,38.035515,"22811 BIGLER ST ,COLUMBIA,CA,95310",145
120.40369,38.030144,"22430 CHURCH LN ,COLUMBIA,CA,95310",146
120.4032,38.029133,"22441 CHURCH LN ,COLUMBIA,CA,95310",147
120.23134,37.950035,"18760 PROVIDENCE MINE RD ,TUOLUMNE,CA,95379",148
120.24086,37.954975,"18310 YOSEMITE RD ,TUOLUMNE,CA,95379",149
120.36835,37.861565,"13199 HARNEY DR ,JAMESTOWN,CA,95327",150
120.34667,37.718582,"5190 ARBOLADA DR ,LA GRANGE,CA,95329",151
120.34333,37.720154,"5308 ENRAMADA DR ,LA GRANGE,CA,95329",152
120.34808,37.714394,"13580 COLINA WAY ,LA GRANGE,CA,95329",153
120.34769,37.714218,"13595 COLINA WAY ,LA GRANGE,CA,95329",154
120.35137,37.713142,"13417 SALINAS ST ,LA GRANGE,CA,95329",155
120.34444,37.711666,"4861 ARBOLADA DR ,LA GRANGE,CA,95329",156
120.34948,37.708351,"13530 CANADA ST ,LA GRANGE,CA,95329",157
120.34209,37.708233,"4577 MADRESELVA ST ,LA GRANGE,CA,95329",158
120.33982,37.704971,"4423 MADRESELVA ST ,LA GRANGE,CA,95329",159
120.34528,37.705467,"13632 BARRO CT ,LA GRANGE,CA,95329",160
120.34318,37.704411,"4412 ARBOLADA DR ,LA GRANGE,CA,95329",161
120.34447,37.705948,"4517 ARBOLADA DR ,LA GRANGE,CA,95329",162
120.15103,38.080452,"25283 ESTHER AVE ,LONG BARN,CA,95335",163
120.39546,38.041786,"11500 ROCHER CT ,COLUMBIA,CA,95310",164
120.40356,38.025047,"22216 PARROTTS FERRY RD 12,SONORA,CA,95370",165
120.41001,38.029396,"10800 AIRPORT RD ,COLUMBIA,CA,95310",166
120.24102,38.005547,"21113 MARANATHA RD ,TUOLUMNE,CA,95379",167
120.25696,37.981323,"19720 MOELLER ST ,TUOLUMNE,CA,95379",168
120.26335,37.994869,"20517 WILLOW SPRINGS DR ,SOULSBYVILLE,CA,95372",169
120.25314,37.993908,"20490 CHARLOTTE CT ,SOULSBYVILLE,CA,95372",170
120.21356,37.850224,"19345 PLEASANTVIEW DR ,GROVELAND,CA,95321",171
120.20948,37.850296,"19541 PLEASANTVIEW DR ,GROVELAND,CA,95321",172
120.20787,37.848488,"19601 PINE MOUNTAIN DR ,GROVELAND,CA,95321",173
120.22163,37.848404,"19127 FERRETTI RD ,GROVELAND,CA,95321",174
120.22113,37.850967,"19050 FOUNTAIN CT ,GROVELAND,CA,95321",175
120.22231,37.864792,"19119 RABOUL CT ,GROVELAND,CA,95321",176
120.21381,37.859772,"13066 MOEKLUMNES CIR ,GROVELAND,CA,95321",177
120.214,37.858578,"12994 WELLS FARGO DR ,GROVELAND,CA,95321",178
120.21048,37.862907,"19526 FERRETTI RD ,GROVELAND,CA,95321",179
120.22473,37.861965,"13073 JACKSON MILL DR ,GROVELAND,CA,95321",180
120.18451,37.854931,"20643 LONGVIEW ST ,GROVELAND,CA,95321",181
120.18617,37.852543,"12624 CRESTHAVEN DR ,GROVELAND,CA,95321",182
120.17883,37.851124,"12706 HETCH HETCHY CT ,GROVELAND,CA,95321",183
120.3147,37.94305,"14610 BLUE BELL RD W ,SONORA,CA,95370",184
120.37914,37.986805,"97 PALEMONE ST ,SONORA,CA,95370",185
120.37806,37.988762,"367 E JACKSON ST ,SONORA,CA,95370",186
120.37849,37.987019,"121 TERRACE AVE ,SONORA,CA,95370",187
120.38827,37.987701,"336 SNELL ST ,SONORA,CA,95370",188
120.39005,37.987133,"371 CALAVERAS WAY ,SONORA,CA,95370",189
120.39027,37.987396,"280 ALPINE LN ,SONORA,CA,95370",190
120.3901,37.986103,"300 BONANZA RD ,SONORA,CA,95370",191
120.38763,37.984951,"228 AYBA ST ,SONORA,CA,95370",192
120.38699,37.985477,"150 LOWER SUNSET DR ,SONORA,CA,95370",193
120.38773,37.985493,"155 OAK ST ,SONORA,CA,95370",194
120.38515,37.986732,"122 N GREEN ST ,SONORA,CA,95370",195
120.38697,37.985874,"119 LOWER SUNSET DR ,SONORA,CA,95370",196
120.38418,37.985069,"10 N NORLIN ST ,SONORA,CA,95370",197
120.38502,37.987202,"19 SNELL ST ,SONORA,CA,95370",198
120.38316,37.98542,"23 N WASHINGTON ST ,SONORA,CA,95370",199
120.3831,37.985344,"35 S WASHINGTON ST ,SONORA,CA,95370",200
120.38367,37.984406,"37 BRADFORD ST ,SONORA,CA,95370",201
120.01523,38.19352,"28080 PINE AVE ,,CA,95375",202
120.15297,38.08773,"22084 LAKEVIEW DR ,MI WUK VILLAGE,CA,95346",203
120.13549,38.090546,"25874 SCENIC DR ,,CA,95335",204
120.40305,37.995102,"20525 DEERFIELD DR ,SONORA,CA,95370",205
120.40179,37.995163,"20598 EUREKA DR ,SONORA,CA,95370",206
120.40385,37.997925,"11070 NATHAN CT ,SONORA,CA,95370",207
120.40295,37.998535,"20673 GOPHER DR ,SONORA,CA,95370",208
120.40268,37.99675,"20580 GOPHER DR ,SONORA,CA,95370",209
120.40381,37.996006,"20580 W WALNUT DR ,SONORA,CA,95370",210
120.4007,38.03159,"22536 KENNEBEC LN ,COLUMBIA,CA,95310",211
120.39996,38.030003,"22495 KENNEBEC LN ,COLUMBIA,CA,95310",212
120.39676,38.042477,"23220 COLUMBIA SPRINGS LN ,COLUMBIA,CA,95310",213
120.40339,38.033077,"22660 PARROTTS FERRY RD ,COLUMBIA,CA,95310",214
120.40904,38.039059,"10891 N AIRPORT RD ,COLUMBIA,CA,95310",215
120.4069,38.03664,"10956 GREEN ST 135,COLUMBIA,CA,95310",216
120.40711,38.035439,"10956 GREEN ST 150,COLUMBIA,CA,95310",217
120.40926,38.036053,"10956 GREEN ST 182,COLUMBIA,CA,95310",218
120.40929,38.035084,"10956 GREEN ST 177,COLUMBIA,CA,95310",219
120.40829,38.036434,"10956 GREEN ST 221,COLUMBIA,CA,95310",220
120.40894,38.038742,"10891 N AIRPORT RD 6,COLUMBIA,CA,95310",221
120.27346,37.994907,"20614 N SUNSHINE RD ,SONORA,CA,95370",222
120.26904,37.997208,"20684 SOULSBYVILLE RD ,SONORA,CA,95370",223
120.27029,37.997459,"20705 N SUNSHINE RD ,SONORA,CA,95370",224
120.27065,37.996449,"16945 MONO VISTA RD N ,SONORA,CA,95370",225
120.2681,37.993835,"20489 HAZEL AVE ,SOULSBYVILLE,CA,95372",226
120.29321,38.002426,"15972 PARKRIDGE AVE ,SONORA,CA,95370",227
120.16482,37.828804,"21645 LYTLE LOOMIS RD ,,CA,95321",228
120.23648,37.828983,"11320 MERRELL RD ,GROVELAND,CA,95321",229
120.2324,37.825459,"18700 VERNAL DR ,GROVELAND,CA,95321",230
120.2707,38.054119,"23887 OXBOW LN S ,SONORA,CA,95370",231
120.26954,38.055042,"23895 OXBOW LN S ,SONORA,CA,95370",232
120.27244,38.05484,"23902 OXBOW LN S ,SONORA,CA,95370",233
120.27155,38.058636,"24073 OXBOW LN N ,SONORA,CA,95370",234
120.27551,38.058113,"24116 OXBOW LN N ,SONORA,CA,95370",235
120.26337,38.063072,"24254 MARTINGALE LN ,SONORA,CA,95370",236
120.26313,37.980392,"17260 TIMBER DR ,,CA,95372",237
120.26963,37.980289,"17031 DRAPER MINE RD ,SONORA,CA,95370",238
120.27122,37.976448,"16951 MONTE GRANDE DR ,SOULSBYVILLE,CA,95372",239
120.27241,37.975601,"19450 ARMARIO RD ,SOULSBYVILLE,CA,95372",240
120.267,37.975338,"17110 MONTE GRANDE DR ,SOULSBYVILLE,CA,95372",241
120.26398,37.975544,"17275 MONTE GRANDE DR ,SOULSBYVILLE,CA,95372",242
120.26172,37.977154,"17230 MONTE GRANDE DR ,SOULSBYVILLE,CA,95372",243
120.1795,37.855587,"12876 GREEN VALLEY CIR ,GROVELAND,CA,95321",244
120.18211,37.855541,"20686 LONGVIEW ST ,GROVELAND,CA,95321",245
120.17932,37.853836,"12769 CRESTHAVEN DR ,GROVELAND,CA,95321",246
120.18313,37.855667,"20656 LONGVIEW ST ,GROVELAND,CA,95321",247
120.19015,37.856476,"20630 NOB HILL CIR ,GROVELAND,CA,95321",248
120.18243,37.867249,"20991 HILLCROFT DR ,GROVELAND,CA,95321",249
120.18585,37.865833,"20966 HEMLOCK ST ,GROVELAND,CA,95321",250
120.17458,37.868038,"13480 YORKSHIRE RD ,GROVELAND,CA,95321",251
120.17274,37.864315,"21178 HEMLOCK ST ,GROVELAND,CA,95321",252
120.17449,37.864571,"13342 MULE CT ,GROVELAND,CA,95321",253
120.18377,37.86488,"20924 WOODSIDE WAY ,GROVELAND,CA,95321",254
120.18468,37.860123,"20766 HEMLOCK ST ,GROVELAND,CA,95321",255
120.18185,37.864132,"20975 WOODSIDE WAY ,GROVELAND,CA,95321",256
120.17592,37.864246,"21131 HEMLOCK ST ,GROVELAND,CA,95321",257
120.1696,37.861183,"13130 CLEMENTS RD ,GROVELAND,CA,95321",258
120.17072,37.858089,"12969 CLEMENTS RD ,GROVELAND,CA,95321",259
120.20752,37.847649,"12376 SUNNYSIDE WAY ,GROVELAND,CA,95321",260
120.20324,37.847446,"12358 MILLS ST ,GROVELAND,CA,95321",261
120.20738,37.844982,"19652 BUTLER WAY ,GROVELAND,CA,95321",262
120.2271,37.992832,"20592 PONDEROSA WAY ,TUOLUMNE,CA,95379",263
120.24049,38.002594,"20965 MARANATHA RD ,TUOLUMNE,CA,95379",264
120.23219,38.002831,"20914 TUOLUMNE RD N ,TUOLUMNE,CA,95379",265
120.25556,37.996315,"20598 CHARLOTTE CT ,SOULSBYVILLE,CA,95372",266
120.2608,37.997551,"20665 CAYLOR DR ,SOULSBYVILLE,CA,95372",267
120.25807,37.997501,"20673 W WILLOW SPRINGS DR ,SOULSBYVILLE,CA,95372",268
120.21201,37.854908,"20230 PLEASANTVIEW DR ,GROVELAND,CA,95321",269
120.22371,37.850765,"19155 FERRETTI RD ,GROVELAND,CA,95321",270
120.21802,37.858475,"12901 MUELLER DR ,GROVELAND,CA,95321",271
120.22108,37.859825,"13024 GAMBLE ST ,GROVELAND,CA,95321",272
120.21848,37.85944,"13048 TIP TOP CT ,GROVELAND,CA,95321",273
120.22046,37.863052,"13085 MUELLER DR ,GROVELAND,CA,95321",274
120.21651,37.859413,"12948 MUELLER DR ,GROVELAND,CA,95321",275
120.17986,37.853447,"12760 CRESTHAVEN DR ,GROVELAND,CA,95321",276
120.18687,37.855614,"20603 LONGVIEW ST ,GROVELAND,CA,95321",277
120.19517,37.853741,"20487 ROCK CANYON WAY ,GROVELAND,CA,95321",278
120.18642,37.853077,"20717 ROCK CANYON WAY ,GROVELAND,CA,95321",279
120.18356,37.849697,"20740 FORESTWOOD WAY ,GROVELAND,CA,95321",280
120.17066,37.862949,"13231 CLEMENTS RD ,GROVELAND,CA,95321",281
120.20875,37.841518,"12078 HILLHURST CIR ,GROVELAND,CA,95321",282
120.19592,37.846523,"20300 MARINA CT ,GROVELAND,CA,95321",283
120.19762,37.841324,"20230 LITTLE VALLEY RD ,GROVELAND,CA,95321",284
120.20103,37.847515,"20024 LOWER SKYRIDGE DR ,GROVELAND,CA,95321",285
120.17316,38.075035,"24927 BONANZA DR ,MI WUK VILLAGE,CA,95346",286
120.17332,38.071838,"24812 QUARTZ AVE ,MI WUK VILLAGE,CA,95346",287
120.17246,38.073513,"24875 BONANZA DR ,MI WUK VILLAGE,CA,95346",288
120.38384,38.022812,"21926 RED GULCH RD ,SONORA,CA,95370",289
120.39109,38.049179,"23509 ITALIAN BAR RD ,COLUMBIA,CA,95310",290
120.39044,38.04895,"23527 ITALIAN BAR RD ,COLUMBIA,CA,95310",291
120.40388,38.010757,"21370 SHAWS FLAT RD ,SONORA,CA,95370",292
120.41179,38.006271,"10789 JOAQUIN MORRIS RD ,SONORA,CA,95370",293
120.40138,37.991787,"20389 E WALNUT DR ,SONORA,CA,95370",294
120.4037,37.995682,"20595 W WALNUT DR ,SONORA,CA,95370",295
120.40073,37.995041,"20556 FLORA LN ,SONORA,CA,95370",296
120.39951,37.993519,"20474 BAY MEADOWS DR ,SONORA,CA,95370",297
120.41204,37.989902,"20255 JAMESTOWN RD ,SONORA,CA,95370",298
120.40966,37.991268,"10797 RACETRACK RD ,SONORA,CA,95370",299
120.41303,37.983089,"19816 ROUGH AND READY TRL ,SONORA,CA,95370",300
120.41295,37.987862,"20106 JAMESTOWN RD 16,SONORA,CA,95370",301
120.38989,37.99868,"122 BANNER DR ,SONORA,CA,95370",302
120.37904,37.998493,"20755 SKYVIEW DR ,SONORA,CA,95370",303
120.38294,37.997509,"20658 SKYVIEW DR ,SONORA,CA,95370",304
120.38676,37.993069,"531 ORCHARD AVE ,SONORA,CA,95370",305
120.38766,37.993687,"661 SHAWS FLAT RD ,SONORA,CA,95370",306
120.38216,38.007938,"21200 JACK PAGE RD ,SONORA,CA,95370",307
120.39256,38.003201,"20909 SHAWS FLAT RD ,SONORA,CA,95370",308
120.44435,37.986374,"20022 RAWHIDE RD ,SONORA,CA,95370",309
120.22713,38.05069,"18878 BROADHURST DR ,TWAIN HARTE,CA,95383",310
120.2448,38.048225,"23426 TANAGER DR ,TWAIN HARTE,CA,95383",311
120.24839,38.049187,"23380 TANAGER DR ,TWAIN HARTE,CA,95383",312
120.247,38.048283,"17987 KINGLET CT ,TWAIN HARTE,CA,95383",313
120.24693,38.046402,"17908 TOWHEE LN ,TWAIN HARTE,CA,95383",314
120.24818,38.046707,"17985 TOWHEE LN ,TWAIN HARTE,CA,95383",315
120.24886,38.042225,"23084 S FORK RD ,TWAIN HARTE,CA,95383",316
120.24703,38.040565,"17905 LARAMIE LN ,TWAIN HARTE,CA,95383",317
120.2347,38.044483,"23300 SHADYBROOK DR ,TWAIN HARTE,CA,95383",318
120.21013,38.055283,"19561 MIDDLE CAMP RD ,TWAIN HARTE,CA,95383",319
120.30812,37.981384,"19766 HIGHWAY 108 ,SONORA,CA,95370",320
120.30726,37.980198,"15305 CAVALIERI RD ,SONORA,CA,95370",321
120.28551,37.978848,"19696 WHITTO MINE RD ,SONORA,CA,95370",322
120.27951,37.978291,"19626 WHITTO MINE RD ,SONORA,CA,95370",323
120.30957,37.985897,"19991 WAIF MINE RD ,SONORA,CA,95370",324
120.12798,37.811405,"23059 HELLS HOLLOW RD ,GROVELAND,CA,95321",325
120.26781,37.980236,"19670 CARNE RICHARDS RD ,SOULSBYVILLE,CA,95372",326
120.48458,37.887779,"7600 STATE HIGHWAY 120 ,JAMESTOWN,CA,95327",327
120.4418,37.863377,"13281 RED HILLS RD ,CHINESE CAMP,CA,95309",328
120.44078,37.864197,"13301 RED HILLS RD ,CHINESE CAMP,CA,95309",329
120.40129,37.880299,"14156 PARK AVE ,JAMESTOWN,CA,95327",330
120.37341,37.867867,"13383 LONE BEND RD ,JAMESTOWN,CA,95327",331
120.46241,37.723515,"5333 AVENIDA LUGO N ,LA GRANGE,CA,95329",332
120.31522,37.660606,"1965 NAVARRO ST ,LA GRANGE,CA,95329",333
120.3222,37.658752,"14701 BONITA CT ,LA GRANGE,CA,95329",334
120.32385,37.657894,"14747 VALVERDE ,LA GRANGE,CA,95329",335
120.35087,37.732819,"5945 ARBOLADA DR ,LA GRANGE,CA,95329",336
120.34116,37.727783,"13887 CADENA WAY ,COULTERVILLE,CA,95311",337
120.34586,37.725925,"13747 CADENA WAY ,COULTERVILLE,CA,95311",338
120.18968,37.841347,"20097 RIDGECREST WAY ,GROVELAND,CA,95321",339
120.20046,37.846706,"20015 UPPER SKYRIDGE DR ,GROVELAND,CA,95321",340
120.32981,37.956512,"18330 WARDS FERRY RD 13,SONORA,CA,95370",341
120.33011,37.95821,"18330 WARDS FERRY RD 81,SONORA,CA,95370",342
120.32819,37.957184,"18330 WARDS FERRY RD 100,SONORA,CA,95370",343
120.32877,37.952068,"18190 WARDS FERRY RD ,SONORA,CA,95370",344
120.30023,37.973812,"15311 CURTIS CIR ,SONORA,CA,95370",345
