longitude,latitude,address
123.08929,38.526207,"5760 AUSTIN CREEK RD ,CAZADERO,CA,95421"
122.0228,37.660534,"28170 FOX HOLLOW DR ,HAYWARD,CA,94542"
120.69295,38.796501,"6495 DEER CANYON CT ,PLACERVILLE,CA,95667"
117.08347,33.465675,"32977 ANASAZI DR ,TEMECULA,CA,92592"
121.30872,37.943077,"634 S MODESTO AVE ,STOCKTON,CA,95203"
119.90524,36.813351,"5325 N ROSALIA AVE ,FRESNO,CA,93723"
119.86647,36.821968,"4148 W FIG TREE LN ,FRESNO,CA,93722"
118.53822,34.154526,"4633 LA SUBIDA PL ,TARZANA,CA,91356"
122.05936,37.913433,"410 N CIVIC DR 309,WALNUT CREEK,CA,94596"
118.31185,33.890015,"15503 S SAINT ANDREWS PL ,GARDENA,CA,90249"
118.30583,34.012314,"3963 LA SALLE AVE ,LOS ANGELES,CA,90062"
122.09224,37.667809,"420 C ST ,HAYWARD,CA,94541"
117.70351,33.482975,"33021 SANTIAGO DR ,DANA POINT,CA,92629"
122.02672,37.267612,"13811 CAMINO RICO ,SARATOGA,CA,95070"
117.07783,33.117527,"136-140 E 6TH AVE ,ESCONDIDO,CA,92025"
118.30469,33.996117,"1539 W 51ST PL ,LOS ANGELES,CA,90062"
121.4096,38.404228,"8001 DEMUI WAY ,ELK GROVE,CA,95757"
116.47534,33.801128,"68378 CALLE LEON ,CATHEDRAL CITY,CA,92234"
122.42368,37.805428,"1000 NORTH POINT ST 1102,SAN FRANCISCO,CA,94109"
121.14409,39.059158,"13302 GARDEN BAR RD ,GRASS VALLEY,CA,95949"
118.55178,34.201118,"19221 SHERMAN WAY 16,RESEDA,CA,91335"
120.9828,37.653679,"706 CASTLE ST ,MODESTO,CA,95350"
121.32305,38.699047,"6023 TUPELO DR ,CITRUS HEIGHTS,CA,95621"
121.39459,38.690331,"3100 ELKHORN BLVD ,NORTH HIGHLANDS,CA,95660"
117.5892,33.957092,"14038 LEMON VALLEY AVE ,CORONA,CA,92880"
118.31091,34.019482,"1767 W 37TH DR ,LOS ANGELES,CA,90018"
121.2165,37.832153,"14421 NAVAJO WAY ,MANTECA,CA,95336"
118.30616,34.161751,"150 ALLEN AVE ,GLENDALE,CA,91201"
118.55201,34.201118,"19231 SHERMAN WAY 42,RESEDA,CA,91335"
122.07835,37.956726,"240 HILLCREST CT ,PLEASANT HILL,CA,94523"
119.11921,37.95723,"51424 HWY 395 ,MAMMOTH LAKES,CA,93546"
117.91436,34.107742,"5231 N ENID AVE ,AZUSA,CA,91702"
118.96082,35.243519,"3900 MADRONA AVE ,BAKERSFIELD,CA,93307"
118.28747,33.984489,"820 W 61ST ST ,LOS ANGELES,CA,90044"
117.99439,33.781231,"7887 LAMPSON AVE 84,GARDEN GROVE,CA,92841"
121.19175,37.777634,"1550 TESORO DR ,MANTECA,CA,95337"
119.7093,36.306343,"11460 14TH AVE ,ARMONA,CA,93202"
118.27504,33.788338,"1265 N WILMINGTON BLVD ,WILMINGTON,CA,90744"
117.69846,33.610455,"24236 LARKWOOD LN ,LAKE FOREST,CA,92630"
117.59141,34.113792,"7715 ABBOT CT ,RANCHO CUCAMONGA,CA,91730"
122.465,37.64529,"3740 ERRIS CT ,SOUTH SAN FRANCISCO,CA,94080"
118.54767,34.178883,"6015 DONNA AVE ,TARZANA,CA,91356"
122.50014,37.596069,"1143 CERVANTES WAY ,PACIFICA,CA,94044"
123.78728,39.26997,"7601 HWY 1 ,LITTLE RIVER,CA,95456"
118.31446,33.832699,"1623 CABRILLO AVE ,TORRANCE,CA,90501"
117.58018,33.864681,"994 LORNA ST ,CORONA,CA,92882"
120.94259,37.731651,"2904 ROSS AVE ,RIVERBANK,CA,95367"
117.29986,33.103378,"7078 MARSH WREN ST ,CARLSBAD,CA,92011"
121.8628,37.705605,"3465 DUBLIN BLVD 329,DUBLIN,CA,94568"
121.8801,37.424271,"1233 OLYMPIC DR ,MILPITAS,CA,95035"
120.13154,39.068859,"6954 W LAKE BLVD ,TAHOMA,CA,96142"
117.13123,32.75243,"4113-4117 KANSAS ST ,SAN DIEGO,CA,92104"
122.03275,38.000004,"3553 SANFORD ST ,CONCORD,CA,94520"
121.01664,38.668285,"4024 SAMUEL WAY ,EL DORADO HILLS,CA,95762"
117.25152,33.946972,"23555 WHISPERING WINDS WAY ,MORENO VALLEY,CA,92557"
121.40132,38.578808,"750 FULTON AVE ,SACRAMENTO,CA,95825"
120.2094,39.349216,"11723 BROOKSTONE DR ,TRUCKEE,CA,96161"
121.86147,36.943218,"315 CAMINO AL BARRANCO ,LA SELVA BCH,CA,95076"
122.40087,37.664536,"36 RANDOLPH AVE ,SOUTH SAN FRANCISCO,CA,94080"
119.75941,37.202538,"43120 RANGER CIRCLE DR ,COARSEGOLD,CA,93614"
117.65475,34.063225,"401 W HOLT BLVD ,ONTARIO,CA,91762"
117.05499,33.128628,"1659 HAWK RIDGE PL ,ESCONDIDO,CA,92027"
124.14088,40.765751,"2440 CYPRESS AVE ,EUREKA,CA,95503"
122.24976,38.005436,"124 DOGWOOD CT ,HERCULES,CA,94547"
121.34153,38.67981,"6215 WASATCH WAY ,SACRAMENTO,CA,95842"
122.02693,36.977905,"2030 N PACIFIC AVE ,SANTA CRUZ,CA,95060"
118.88187,35.408409,"6011 SUCRE PL ,BAKERSFIELD,CA,93306"
118.26055,33.954849,"811 E 90TH ST ,LOS ANGELES,CA,90002"
122.86307,38.614834,"540 UNIVERSITY ST ,HEALDSBURG,CA,95448"
122.20844,40.249374,"22275 HARNESS LN ,RED BLUFF,CA,96080"
121.96512,37.966728,"5085 LAUREL DR ,CONCORD,CA,94521"
116.99665,32.742596,"3368 MONIQUE LN ,SPRING VALLEY,CA,91977"
118.55038,34.198975,"7113 CLAIRE AVE ,RESEDA,CA,91335"
117.6126,34.076443,"1018 N SACRAMENTO AVE ,ONTARIO,CA,91764"
117.22938,33.048386,"642 WINDMILL RANCH RD ,ENCINITAS,CA,92024"
121.36751,38.552559,"9013 ROSEWOOD DR ,SACRAMENTO,CA,95826"
121.22429,38.732605,"1381 ABERDEEN CIR ,GRANITE BAY,CA,95746"
117.7711,33.713917,"7 YORKTOWN ,IRVINE,CA,92620"
118.07741,34.006241,"4573 DURFEE AVE ,PICO RIVERA,CA,90660"
121.0726,40.17115,"29615 HWY 89 ,CANYON DAM,CA,95923"
117.96618,33.654751,"21252 HILLSDALE LN ,HUNTINGTON BEACH,CA,92646"
117.27906,33.745407,"25811 STATE HIGHWAY 74 ,PERRIS,CA,92570"
121.44952,38.64016,"707 DISPLAY WAY ,,CA,95838"
122.42249,37.786755,"1000 DANIEL BURNHAM CT 905,SAN FRANCISCO,CA,94109"
117.20589,32.866634,"5154 RENAISSANCE AVE ,SAN DIEGO,CA,92122"
115.6416,35.426723,"65205 XENO RD ,,CA,92364"
119.31152,36.342941,"1503 N CENTRAL CT ,VISALIA,CA,93291"
121.71217,36.812702,"141 WALKER VALLEY RD ,CASTROVILLE,CA,95012"
118.37468,34.213345,"11200 ARMINTA ST ,SUN VALLEY,CA,91352"
119.5356,36.60553,"1186 MAYA ST ,PARLIER,CA,93648"
121.6496,37.132504,"380 CALLE ASTA ,MORGAN HILL,CA,95037"
117.09793,32.738216,"3086 45TH ST ,SAN DIEGO,CA,92105"
122.50257,37.756176,"1635 43RD AVE ,SAN FRANCISCO,CA,94122"
117.98244,33.982559,"3219 LA PLATA AVE ,HACIENDA HEIGHTS,CA,91745"
118.75291,34.159218,"5914 CARELL AVE ,AGOURA HILLS,CA,91301"
118.10708,33.909039,"13560 DOMART AVE ,NORWALK,CA,90650"
117.46744,34.091625,"15475 HUFF CT ,FONTANA,CA,92335"
118.11848,34.066319,"317 E EMERSON AVE ,MONTEREY PARK,CA,91755"
117.1022,32.947498,"10441 HARVEST VIEW WAY ,SAN DIEGO,CA,92128"
117.76213,33.699211,"47 WONDERLAND ,IRVINE,CA,92620"
121.47056,38.518089,"3160 38TH AVE ,SACRAMENTO,CA,95824"
116.39096,34.122589,"7162 RUBIDOUX AVE ,YUCCA VALLEY,CA,92284"
117.02547,32.783947,"5790 MARENGO AVE ,LA MESA,CA,91942"
118.28243,33.739697,"255 W 5TH ST 1104,SAN PEDRO,CA,90731"
117.18185,34.52515,"15056 NANTICOKE RD ,APPLE VALLEY,CA,92307"
117.7906,34.12244,"4646 FOX GLEN AVE ,LA VERNE,CA,91750"
117.94901,33.917465,"351 W IMPERIAL HWY ,LA HABRA,CA,90631"
117.64304,33.605274,"27931 ENCANTO ,MISSION VIEJO,CA,92692"
120.63482,35.136604,"140 S DOLLIVER ST 203,PISMO BEACH,CA,93449"
117.36341,33.89011,"17341 RANCHERO RD ,RIVERSIDE,CA,92504"
117.10426,32.579868,"951 GEORGIA ST A-C,IMPERIAL BEACH,CA,91932"
117.31145,33.183636,"313 DIAMANTE WAY ,OCEANSIDE,CA,92056"
121.78783,37.324677,"3016 PITNER CT ,SAN JOSE,CA,95148"
117.02857,34.043545,"35570 PANORAMA DR ,YUCAIPA,CA,92399"
121.84081,37.326073,"1383 KILCHOAN CT ,SAN JOSE,CA,95122"
118.47388,34.317921,"13616 NORRIS AVE ,SYLMAR,CA,91342"
118.19057,33.768646,"150 THE PROMENADE N 212,LONG BEACH,CA,90802"
117.58356,33.459164,"8 CALLE CANGREJO ,SAN CLEMENTE,CA,92673"
119.72359,36.861618,"551 W WARWICK AVE ,CLOVIS,CA,93619"
117.88499,33.616207,"100 OCEAN VIS 119,NEWPORT BEACH,CA,92660"
117.42932,34.519348,"10728 PERSHING ST ,ADELANTO,CA,92301"
117.97928,33.790226,"11861 MAC ST ,GARDEN GROVE,CA,92841"
118.10912,34.682877,"1147 CAITLIN AVE ,LANCASTER,CA,93535"
116.13184,33.6395,"56523 DESERT CACTUS DR 4,THERMAL,CA,92274"
118.16286,33.767944,"2438 E 3RD ST ,LONG BEACH,CA,90814"
